doi,title,year,journal,decision_Claude,exclusion_label,justification
10.1111/acv.12339,"IDENTIFICATION OF CANDIDATE PELAGIC MARINE PROTECTED AREAS THROUGH A SEABIRD SEASONAL-, MULTISPECIFIC- AND EXTINCTION RISK-BASED APPROACH",2017,ANIMAL CONSERVATION,Include,,Modèle marin + gestion explicite
10.1016/j.pocean.2013.06.002,WHEN IS A BIOGEOCHEMICAL MODEL TOO COMPLEX? OBJECTIVE MODEL REDUCTION AND SELECTION FOR NORTH ATLANTIC TIME-SERIES SITES,2013,PROGRESS IN OCEANOGRAPHY,Exclude,Physical/environmental model (no ecology),Modèle physique sans écologie
10.1007/978-3-319-58304-4_8,SPATIALLY EXPLICIT MODELS IN LOCAL DYNAMICS ANALYSIS: THE POTENTIAL NATURAL VEGETATION (PNV) AS A TOOL FOR BEACH AND COASTAL MANAGEMENT,2018,"BEACH MANAGEMENT TOOLS - CONCEPTS, METHODOLOGIES AND CASE STUDIES",Include,,Modèle marin + gestion explicite
10.1002/eap.2214,VALIDATION OF PRESENCE-ONLY MODELS FOR CONSERVATION PLANNING AND THE APPLICATION TO WHALES IN A MULTIPLE-USE MARINE PARK,2021,ECOLOGICAL APPLICATIONS,Include,,Modèle marin + gestion explicite
10.3389/fmars.2020.602281,ADAPTIVE BEHAVIORS TO MARINE ECOSYSTEM SHIFTS: EXAMINING FISHERMEN'S STRATEGIES IN RESPONSE TO ABUNDANT JUVENILE SABLEFISH (ANOPLOPOMA FIMBRIA) IN ALASKA,2020,FRONTIERS IN MARINE SCIENCE,Review/synthesis,,Revue de littérature
10.1002/ece3.71007,EVALUATING THREE MODELLING FRAMEWORKS FOR ASSESSING CHANGES IN FIN WHALE DISTRIBUTION IN THE MEDITERRANEAN SEA,2025,ECOLOGY AND EVOLUTION,Include,,Modèle marin + gestion explicite
10.1016/j.dsr2.2025.105546,A COMPARISON OF DEEP-SEA CORAL AND SPONGE SPECIES DISTRIBUTION MODELS AND THE IMPACT OF OCEAN CURRENTS IN THE SOUTHERN CALIFORNIA BIGHT,2025,DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY,Include,,Modèle marin + gestion explicite
10.1371/journal.pone.0190015,EVALUATING THE FISHERY AND ECOLOGICAL CONSEQUENCES OF THE PROPOSED NORTH SEA MULTI-ANNUAL PLAN,2018,PLOS ONE,Include,,Modèle marin + gestion explicite
10.5194/gmd-14-4939-2021,WAP-1D-VAR V1.0: DEVELOPMENT AND EVALUATION OF A ONE-DIMENSIONAL VARIATIONAL DATA ASSIMILATION MODEL FOR THE MARINE ECOSYSTEM ALONG THE WEST ANTARCTIC PENINSULA,2021,GEOSCIENTIFIC MODEL DEVELOPMENT,Include,,Modèle marin — inclus par règle du doute
10.1016/j.marpol.2015.07.015,MAKING MODELLING COUNT - INCREASING THE CONTRIBUTION OF SHELF-SEAS COMMUNITY AND ECOSYSTEM MODELS TO POLICY DEVELOPMENT AND MANAGEMENT,2015,MARINE POLICY,Include,,Modèle marin + gestion explicite
10.1111/acv.12930,A MULTISCALE PERSPECTIVE FOR IMPROVING CONSERVATION OF CONCHOS PUPFISH,2024,ANIMAL CONSERVATION,Exclude,Terrestrial/Freshwater,Modèle sans système marin
10.3389/fmars.2025.1629180,"ANTICIPATING HOW SPATIAL FISHING RESTRICTIONS IN EU WATERS PERFORM TO PROTECT MARINE SPECIES, HABITATS, AND DEPENDENT FISHERIES",2025,FRONTIERS IN MARINE SCIENCE,Include,,Modèle marin + gestion explicite
10.1139/F10-118,FISHING CATCH SHARES IN THE FACE OF GLOBAL CHANGE: A FRAMEWORK FOR INTEGRATING CUMULATIVE IMPACTS AND SINGLE SPECIES MANAGEMENT,2010,CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,Include,,Modèle marin + gestion explicite
10.1111/j.1939-7445.2010.00076.x,PLANNING MARINE PROTECTED AREAS: A MULTIPLE USE GAME,2010,NATURAL RESOURCE MODELING,Include,,Modèle marin + gestion explicite
10.3389/fmars.2019.00126,"CONNECTING A TROPHIC MODEL AND LOCAL ECOLOGICAL KNOWLEDGE TO IMPROVE FISHERIES MANAGEMENT: THE CASE OF GULF OF NICOYA, COSTA RICA",2019,FRONTIERS IN MARINE SCIENCE,Include,,Modèle marin + gestion explicite
10.1371/journal.pone.0017993,INFORMING SPECIES CONSERVATION AT MULTIPLE SCALES USING DATA COLLECTED FOR MARINE MAMMAL STOCK ASSESSMENTS,2011,PLOS ONE,Include,,Modèle marin + gestion explicite
10.1016/j.scitotenv.2023.162993,"PLANT INVASION RISK INSIDE AND OUTSIDE PROTECTED AREAS: PROPAGULE PRESSURE, ABIOTIC AND BIOTIC FACTORS DEFINITIVELY MATTER",2023,SCIENCE OF THE TOTAL ENVIRONMENT,Exclude,Terrestrial/Freshwater,Modèle sans système marin
10.3354/meps12526,PHYTOPLANKTON BIOMASS AND SIZE STRUCTURE ACROSS TROPHIC GRADIENTS IN THE SOUTHERN CALIFORNIA CURRENT AND ADJACENT OCEAN ECOSYSTEMS,2018,MARINE ECOLOGY PROGRESS SERIES,Exclude,Not a model,Pas de modèle formel identifié
10.1080/19425120.2017.1330786,RECOMMENDATIONS ON THE USE OF ECOSYSTEM MODELING FOR INFORMING ECOSYSTEM-BASED FISHERIES MANAGEMENT AND RESTORATION OUTCOMES IN THE GULF OF MEXICO,2017,MARINE AND COASTAL FISHERIES,Include,,Modèle marin + gestion explicite
10.1371/journal.pone.0146467,ECOSYSTEM MODEL SKILL ASSESSMENT. YES WE CAN!,2016,PLOS ONE,Include,,Modèle marin + gestion explicite
10.1016/j.fishres.2022.106417,IDENTIFYING OVEREXPLOITATION IN THE COASTAL GREENLAND HALIBUT FISHERY IN THE DISKO BAY USING STATIC BIOECONOMIC MODELLING,2022,FISHERIES RESEARCH,Include,,Modèle marin + gestion explicite
10.1016/j.ocecoaman.2020.105232,MULTI-ZONE MARINE PROTECTED AREAS: ASSESSMENT OF ECOSYSTEM AND FISHERIES BENEFITS USING MULTIPLE ECOSYSTEM MODELS,2020,OCEAN & COASTAL MANAGEMENT,Include,,Modèle marin + gestion explicite
10.1016/j.fishres.2012.04.016,ESTIMATING LOCAL SETTLER-RECRUIT RELATIONSHIP PARAMETERS FOR COMPLEX SPATIALLY EXPLICIT MODELS,2012,FISHERIES RESEARCH,Include,,Modèle marin + gestion explicite
10.1890/15-0478,RECIPROCAL FEEDBACKS BETWEEN SPATIAL SUBSIDIES AND RESERVE NETWORKS IN CORAL REEF META-ECOSYSTEMS,2016,ECOLOGICAL APPLICATIONS,Include,,Modèle marin + gestion explicite
10.1016/j.gecco.2024.e03310,GLOBAL DISTRIBUTION PREDICTION AND ECOLOGICAL CONSERVATION OF BASKING SHARK (CETORHINUS MAXIMUS) UNDER INTEGRATED IMPACTS,2024,GLOBAL ECOLOGY AND CONSERVATION,Include,,Modèle marin + gestion explicite
10.2989/1814232X.2014.883326,"AN END-TO-END COUPLED MODEL ROMS-N2P2Z2D2-OSMOSE OF THE SOUTHERN BENGUELA FOODWEB: PARAMETERISATION, CALIBRATION AND PATTERN-ORIENTED VALIDATION",2014,AFRICAN JOURNAL OF MARINE SCIENCE,Include,,Modèle marin — inclus par règle du doute
10.1111/ddi.12937,PROTECTED AREAS LACKING FOR MANY COMMON FLUVIAL FISHES OF THE CONTERMINOUS USA,2019,DIVERSITY AND DISTRIBUTIONS,Exclude,Terrestrial/Freshwater,Modèle sans système marin
10.3390/rs14174334,SPECIES DISTRIBUTION MODELS AT REGIONAL SCALE: CYMODOCEA NODOSA SEAGRASSES,2022,REMOTE SENSING,Include,,Modèle marin + gestion explicite
10.1111/jbi.12393,ASSESSING THE RISKS AND OPPORTUNITIES OF PRESENCE-ONLY DATA FOR CONSERVATION PLANNING,2015,JOURNAL OF BIOGEOGRAPHY,Exclude,Terrestrial/Freshwater,Modèle sans système marin
10.1016/j.pocean.2013.09.002,AN ASSESSMENT OF THE TROPHIC STRUCTURE OF THE BAY OF BISCAY CONTINENTAL SHELF FOOD WEB: COMPARING ESTIMATES DERIVED FROM AN ECOSYSTEM MODEL AND ISOTOPIC DATA,2014,PROGRESS IN OCEANOGRAPHY,Include,,Modèle marin + gestion explicite
10.1016/j.ecolmodel.2025.111058,INTEGRATING EQUITY AND JUSTICE IN MARINE ECOSYSTEM MODELS: AN INCREMENTAL BUT MEANINGFUL APPROACH,2025,ECOLOGICAL MODELLING,Include,,Modèle marin + gestion explicite
10.1088/1748-9326/accd83,EXPLORING RISKS AND BENEFITS OF OVERSHOOTING A 1.5 °C CARBON BUDGET OVER SPACE AND TIME,2023,ENVIRONMENTAL RESEARCH LETTERS,Include,,Modèle marin + gestion explicite
10.1111/ecog.05181,USING SPECIES DISTRIBUTION MODELS TO ASSESS THE LONG-TERM IMPACTS OF CHANGING OCEANOGRAPHIC CONDITIONS ON ABALONE DENSITY IN SOUTH EAST AUSTRALIA,2020,ECOGRAPHY,Include,,Modèle marin + gestion explicite
10.3389/fmars.2021.624301,BOTTOM-UP IMPACTS OF FORECASTED CLIMATE CHANGE ON THE EASTERN BERING SEA FOOD WEB,2021,FRONTIERS IN MARINE SCIENCE,Include,,Modèle marin + gestion explicite
10.5751/ES-11580-250221,COMBINING ECOSYSTEM MODELING WITH SERIOUS GAMING IN SUPPORT OF TRANSBOUNDARY MARITIME SPATIAL PLANNING,2020,ECOLOGY AND SOCIETY,Include,,Modèle marin + gestion explicite
10.1093/icesjms/fsaf189,LESSONS LEARNED FROM TESTING THE PREDICTIONS OF SPECIES DISTRIBUTION MODELS FOR DEEP-SEA CORALS AND SPONGES IN THE GULF OF ALASKA WITH COMPARISONS TO OTHER ALASKA ECOSYSTEMS,2025,ICES JOURNAL OF MARINE SCIENCE,Include,,Modèle marin + gestion explicite
10.1111/j.1467-2979.2011.00420.x,CONTRIBUTIONS OF FOOD WEB MODELLING TO THE ECOSYSTEM APPROACH TO MARINE RESOURCE MANAGEMENT IN THE MEDITERRANEAN SEA,2012,FISH AND FISHERIES,Review/synthesis,,Revue de littérature
10.1093/icesjms/fst073,EVALUATING DEEPWATER FISHERIES MANAGEMENT STRATEGIES USING A MIXED-FISHERIES AND SPATIALLY EXPLICIT MODELLING FRAMEWORK,2013,ICES JOURNAL OF MARINE SCIENCE,Include,,Modèle marin + gestion explicite
10.3354/meps14621,EVALUATION OF THE CHESAPEAKE BAY BLUE CRAB SANCTUARY THROUGH HABITAT SUITABILITY,2024,MARINE ECOLOGY PROGRESS SERIES,Include,,Modèle marin + gestion explicite
10.1371/journal.pone.0210419,SENSITIVITY OF THE NORWEGIAN AND BARENTS SEA ATLANTIS END-TO-END ECOSYSTEM MODEL TO PARAMETER PERTURBATIONS OF KEY SPECIES,2019,PLOS ONE,Include,,Modèle marin + gestion explicite
10.1002/aqc.3877,PROTECTION GAPS IN AMAZON FLOODPLAINS WILL INCREASE WITH CLIMATE CHANGE: INSIGHT FROM THE WORLD'S LARGEST SCALED FRESHWATER FISH,2022,AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,Exclude,Terrestrial/Freshwater,Modèle sans système marin
10.1016/j.rse.2015.09.020,FORESTS OF THE SEA: PREDICTIVE HABITAT MODELLING TO ASSESS THE ABUNDANCE OF CANOPY FORMING KELP FORESTS ON TEMPERATE REEFS,2015,REMOTE SENSING OF ENVIRONMENT,Include,,Modèle marin + gestion explicite
10.5194/bg-17-3057-2020,ONE SIZE FITS ALL? CALIBRATING AN OCEAN BIOGEOCHEMISTRY MODEL FOR DIFFERENT CIRCULATIONS,2020,BIOGEOSCIENCES,Include,,Modèle marin — inclus par règle du doute
10.1016/j.ecolmodel.2017.04.009,"AN ATLANTIS MODEL OF THE SOUTHERN BENGUELA UPWELLING SYSTEM: VALIDATION, SENSITIVITY ANALYSIS AND INSIGHTS INTO ECOSYSTEM FUNCTIONING",2017,ECOLOGICAL MODELLING,Include,,Modèle marin + gestion explicite
10.1016/j.ecolmodel.2016.03.008,AN ECOSYSTEM MODEL OF THE LOWER PO RIVER FOR USE IN ECOLOGICAL RISK ASSESSMENT OF XENOBIOTICS,2016,ECOLOGICAL MODELLING,Exclude,Terrestrial/Freshwater,Modèle sans système marin
10.1007/s11852-024-01039-0,"BIOECONOMIC ASSESSMENT OF REFUGE AVAILABILITY UNDER VARIOUS SCENARIOS: IMPACT ON SPECIES BIOMASS, FISHING EFFORT, AND PROFITS",2024,JOURNAL OF COASTAL CONSERVATION,Include,,Modèle marin + gestion explicite
10.1111/csp2.70062,ASSESSING CONSERVATION PRIORITIES FOR SEAHORSES IN BRAZIL REVEALS GAPS IN CURRENT PROTECTED AREAS,2025,CONSERVATION SCIENCE AND PRACTICE,Include,,Modèle marin + gestion explicite
10.1093/ajae/aar007,A CONCEPTIONAL ANALYSIS OF DYNAMICS AND PRODUCTION IN BIOECONOMIC MODELS,2011,AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS,Exclude,Terrestrial/Freshwater,Modèle sans système marin
10.1016/j.pocean.2021.102565,BIOGEOCHEMICAL VARIABILITY IN THE CALIFORNIA CURRENT SYSTEM,2021,PROGRESS IN OCEANOGRAPHY,Include,,Modèle marin + gestion explicite
10.1111/conl.13123,FUTURE CLIMATE-DRIVEN ECOLOGICAL DISRUPTION IN A NETWORK OF MARINE PROTECTED AREAS ON CANADA'S EAST COAST,2025,CONSERVATION LETTERS,Include,,Modèle marin + gestion explicite
10.5194/gmd-17-621-2024,COMPUTATIONALLY EFFICIENT PARAMETER ESTIMATION FOR HIGH-DIMENSIONAL OCEAN BIOGEOCHEMICAL MODELS,2024,GEOSCIENTIFIC MODEL DEVELOPMENT,Include,,Modèle marin — inclus par règle du doute
10.1016/j.envsoft.2021.105209,MAKING SPATIAL-TEMPORAL MARINE ECOSYSTEM MODELLING BETTER-A PERSPECTIVE,2021,ENVIRONMENTAL MODELLING & SOFTWARE,Include,,Modèle marin + gestion explicite
10.1002/aqc.3379,"INCORPORATINGIN SITUPREY DISTRIBUTION INTO FORAGING HABITAT MODELLING FOR MARINE MEGAFAUNA IN THE SOLOR WATERS OF THE SAVU SEA, INDONESIA",2020,AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,Include,,Modèle marin + gestion explicite
10.1016/j.scitotenv.2020.136610,EXOSKELETON DISSOLUTION WITH MECHANORECEPTOR DAMAGE IN LARVAL DUNGENESS CRAB RELATED TO SEVERITY OF PRESENT-DAY OCEAN ACIDIFICATION VERTICAL GRADIENTS,2020,SCIENCE OF THE TOTAL ENVIRONMENT,Include,,Modèle marin + gestion explicite
10.1002/jgrf.20099,DETECTING FINGERPRINTS OF LANDSLIDE DRIVERS: A MAXENT MODEL,2013,JOURNAL OF GEOPHYSICAL RESEARCH-EARTH SURFACE,Include,,Modèle marin + gestion explicite
10.1890/15-0879.1,"INTERACTION OF ECOLOGICAL AND ANGLER PROCESSES: EXPERIMENTAL STOCKING IN AN OPEN ACCESS, SPATIALLY STRUCTURED FISHERY",2016,ECOLOGICAL APPLICATIONS,Exclude,Not a model,Pas de modèle formel identifié
10.26650/B/LSB21LSB37.2024.023.031,GUIDELINES FOR A THEORETICAL ECOSYSTEM MODEL FOCUSING ON THE TROPHIC STATUS OF THE SEA OF MARMARA,2025,ECOLOGICAL CHANGES IN THE SEA OF MARMARA,Include,,Modèle marin + gestion explicite
10.1016/j.marpolbul.2024.116162,SPECIES DISTRIBUTION MODELS TO PREDICT THE IMPACTS OF ENVIRONMENTAL DISASTERS ON SHRIMP SPECIES OF ECONOMIC INTEREST,2024,MARINE POLLUTION BULLETIN,Include,,Modèle marin + gestion explicite
10.5194/cp-21-381-2025,TESTING THE RELIABILITY OF GLOBAL SURFACE TEMPERATURE RECONSTRUCTIONS OF THE LAST GLACIAL CYCLE WITH PSEUDO-PROXY EXPERIMENTS,2025,CLIMATE OF THE PAST,Include,,Modèle marin + gestion explicite
10.3389/fmars.2025.1646031,HISTORICAL ECOSYSTEM MODELS CAN SERVE AS A BASELINE FOR INDICATOR-BASED ASSESSMENT: THE NORTH SEA,2025,FRONTIERS IN MARINE SCIENCE,Include,,Modèle marin + gestion explicite
10.1016/j.csr.2015.10.007,"ECOSYSTEM HEALTH OF A MEDITERRANEAN SEMI-ENCLOSED EMBAYMENT (AMVRAKIKOS GULF, GREECE): ASSESSING CHANGES USING A MODELING APPROACH",2016,CONTINENTAL SHELF RESEARCH,Include,,Modèle marin + gestion explicite
10.1016/j.pocean.2019.102179,CAPTURING THE BIG PICTURE OF MEDITERRANEAN MARINE BIODIVERSITY WITH AN END-TO-END MODEL OF CLIMATE AND FISHING IMPACTS,2019,PROGRESS IN OCEANOGRAPHY,Include,,Modèle marin + gestion explicite
10.1016/j.ecolmodel.2017.04.004,BEYOND BIG FISH: THE CASE FOR MORE DETAILED REPRESENTATIONS OF TOP PREDATORS IN MARINE ECOSYSTEM MODELS,2017,ECOLOGICAL MODELLING,Include,,Modèle marin + gestion explicite
10.1016/j.ecoinf.2025.103581,IMPROVING MULTI-SPECIES HABITAT IDENTIFICATION THROUGH SPECIES WEIGHTING ASSIGNMENT USING JOINT SPECIES DISTRIBUTION MODEL,2026,ECOLOGICAL INFORMATICS,Include,,Modèle marin + gestion explicite
10.1016/j.ecolmodel.2017.09.020,A BRIDGE BETWEEN CONTINUOUS AND DISCRETE-TIME BIOECONOMIC MODELS: SEASONALITY IN FISHERIES,2017,ECOLOGICAL MODELLING,Include,,Modèle marin + gestion explicite
10.1002/env.2894,SPATIALLY EXPLICIT MODEL TO DISENTANGLE EFFECTS OF ENVIRONMENT ON ANNUAL FISH REPRODUCTION,2025,ENVIRONMETRICS,Include,,Modèle marin + gestion explicite
10.3996/JFWM-20-072,EMBRACING ENSEMBLE SPECIES DISTRIBUTION MODELS TO INFORM AT-RISK SPECIES STATUS ASSESSMENTS,2021,JOURNAL OF FISH AND WILDLIFE MANAGEMENT,Exclude,Terrestrial/Freshwater,Modèle sans système marin
10.1038/s41598-020-69579-7,CLIMATE CHANGE MODELS PREDICT DECREASES IN THE RANGE OF A MICROENDEMIC FRESHWATER FISH IN HONDURAS,2020,SCIENTIFIC REPORTS,Exclude,Terrestrial/Freshwater,Modèle sans système marin
10.3989/scimar.03574.20B,END-TO-END MODELS FOR MARINE ECOSYSTEMS: ARE WE ON THE PRECIPICE OF A SIGNIFICANT ADVANCE OR JUST PUTTING LIPSTICK ON A PIG?,2012,SCIENTIA MARINA,Include,,Modèle marin + gestion explicite
10.1016/j.ecolind.2013.12.021,ECOSYSTEM INDICATORS FOR SOUTHEAST FLORIDA BEACHES,2014,ECOLOGICAL INDICATORS,Include,,Modèle marin + gestion explicite
10.1139/cjfas-2013-0594,MEDIATION FUNCTIONS IN ECOPATH WITH ECOSIM: HANDLE WITH CARE,2014,CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,Include,,Modèle marin + gestion explicite
10.1007/s12237-012-9483-1,FOOD WEB STRUCTURE AND TROPHIC CONTROL IN CENTRAL PUGET SOUND,2012,ESTUARIES AND COASTS,Exclude,Terrestrial/Freshwater,Modèle sans système marin
10.1016/j.jmarsys.2014.07.023,"FISHING INSIDE OR OUTSIDE? A CASE STUDIES ANALYSIS OF POTENTIAL SPILLOVER EFFECT FROM MARINE PROTECTED AREAS, USING FOOD WEB MODELS",2014,JOURNAL OF MARINE SYSTEMS,Include,,Modèle marin + gestion explicite
10.3389/fevo.2025.1608518,"EVALUATING CLIMATE CHANGE IMPACTS ON HABITAT SUITABILITY FOR IBERIAN FRESHWATER CRAB ""POTAMON IBERICUM BIEBERSTEIN, 1808"" IN IRAN",2025,FRONTIERS IN ECOLOGY AND EVOLUTION,Include,,Modèle marin + gestion explicite
10.1016/j.ecss.2021.107658,STRUCTURE AND FUNCTIONING OF THE BAY OF BISCAY ECOSYSTEM: A TROPHIC MODELLING APPROACH,2022,ESTUARINE COASTAL AND SHELF SCIENCE,Include,,Modèle marin + gestion explicite
10.1016/j.scitotenv.2021.149687,A HABITAT SUITABILITY MODEL FOR AQUACULTURE SITE SELECTION: RIA DE AVEIRO AND RIAS BAIXAS,2021,SCIENCE OF THE TOTAL ENVIRONMENT,Include,,Modèle marin + gestion explicite
10.1016/j.ocecoaman.2020.105291,EVALUATING ECOSYSTEM IMPACTS OF DATA-LIMITED ARTISANAL FISHERIES THROUGH ECOSYSTEM MODELLING AND TRADITIONAL FISHER KNOWLEDGE,2020,OCEAN & COASTAL MANAGEMENT,Include,,Modèle marin + gestion explicite
10.3354/meps09701,MODELING TROPHIC INTERACTIONS TO ASSESS THE EFFECTS OF A MARINE PROTECTED AREA: CASE STUDY IN THE NW MEDITERRANEAN SEA,2012,MARINE ECOLOGY PROGRESS SERIES,Include,,Modèle marin + gestion explicite
10.3389/fclim.2021.738224,PERSISTENT UNCERTAINTIES IN OCEAN NET PRIMARY PRODUCTION CLIMATE CHANGE PROJECTIONS AT REGIONAL SCALES RAISE CHALLENGES FOR ASSESSING IMPACTS ON ECOSYSTEM SERVICES,2021,FRONTIERS IN CLIMATE,Include,,Modèle marin + gestion explicite
10.1016/j.fishres.2016.01.008,EXPERIENCES WITH THE USE OF BIOECONOMIC MODELS IN THE MANAGEMENT OF AUSTRALIAN AND NEW ZEALAND FISHERIES,2016,FISHERIES RESEARCH,Include,,Modèle marin + gestion explicite
10.1029/2011GB004072,SENSITIVITY ANALYSIS OF SIMPLE GLOBAL MARINE BIOGEOCHEMICAL MODELS,2012,GLOBAL BIOGEOCHEMICAL CYCLES,Include,,Modèle marin — inclus par règle du doute
10.1016/j.crsust.2024.100273,A MULTI-DIMENSIONAL APPROACH TO IMPROVE VALIDATION PRACTICES FOR QUALITATIVE MODELS OF MARINE SOCIAL-ECOLOGICAL SYSTEMS,2025,CURRENT RESEARCH IN ENVIRONMENTAL SUSTAINABILITY,Review/synthesis,,Revue de littérature
10.1111/j.1939-7445.2011.00100.x,THE EVOLUTION OF QUANTITATIVE MARINE FISHERIES MANAGEMENT 1985-2010,2012,NATURAL RESOURCE MODELING,Include,,Modèle marin + gestion explicite
10.1016/j.ocecoaman.2021.105555,"CETACEAN HABITAT MODELLING TO INFORM CONSERVATION MANAGEMENT, MARINE SPATIAL PLANNING, AND AS A BASIS FOR ANTHROPOGENIC THREAT MITIGATION IN INDONESIA",2021,OCEAN & COASTAL MANAGEMENT,Include,,Modèle marin + gestion explicite
10.1371/journal.pone.0204569,"MANAGERS, MODELERS, AND MEASURING THE IMPACT OF SPECIES DISTRIBUTION MODEL UNCERTAINTY ON MARINE ZONING DECISIONS",2018,PLOS ONE,Include,,Modèle marin + gestion explicite
10.1016/j.gecco.2019.e00584,RANGE EXPANSION OF AN ALREADY WIDESPREAD BEE UNDER CLIMATE CHANGE,2019,GLOBAL ECOLOGY AND CONSERVATION,Include,,Modèle marin — inclus par règle du doute
10.1016/j.fishres.2009.12.008,ADAPTING THE STEEPNESS PARAMETER FROM STOCK-RECRUIT CURVES FOR USE IN SPATIALLY EXPLICIT MODELS,2010,FISHERIES RESEARCH,Include,,Modèle marin + gestion explicite
10.3389/fmars.2020.00070,EXPLORING BALANCED HARVESTING BY USING AN ATLANTIS ECOSYSTEM MODE FOR THE NORDIC AND BARENTS SEAS,2020,FRONTIERS IN MARINE SCIENCE,Include,,Modèle marin + gestion explicite
10.1002/eap.2401,A STRUCTURED SEABIRD POPULATION MODEL REVEALS HOW ALTERNATIVE FORAGE FISH CONTROL RULES BENEFIT SEABIRDS AND FISHERIES,2021,ECOLOGICAL APPLICATIONS,Include,,Modèle marin + gestion explicite
10.1002/aqc.3368,THE EFFECTS OF MARINE PROTECTED AREAS ON ECOSYSTEM RECOVERY AND FISHERIES USING A COMPARATIVE MODELLING APPROACH,2020,AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,Include,,Modèle marin + gestion explicite
10.1371/journal.pone.0152577,MANAGEMENT STRATEGY EVALUATION APPLIED TO CORAL REEF ECOSYSTEMS IN SUPPORT OF ECOSYSTEM-BASED MANAGEMENT,2016,PLOS ONE,Include,,Modèle marin + gestion explicite
10.1093/icesjms/fsae095,QUALITATIVE MODELING FOR REPRESENTING THE SOCIAL-ECOLOGICAL SYSTEM OF THE GROIX-BELLE-ÎLE OFFSHORE WIND FARM PROJECT,2025,ICES JOURNAL OF MARINE SCIENCE,Include,,Modèle marin + gestion explicite
10.1016/j.biocon.2024.110470,AN APPROXIMATION APPROACH TO SPATIAL CONNECTIVITY FOR A DATA-LIMITED ENDANGERED SPECIES WITH IMPLICATIONS FOR HABITAT RESTORATION,2024,BIOLOGICAL CONSERVATION,Exclude,Terrestrial/Freshwater,Modèle sans système marin
10.1016/j.marpol.2014.11.017,"ADAPTIVE MANAGEMENT, INTERNATIONAL CO-OPERATION AND PLANNING FOR MARINE CONSERVATION HOTSPOTS IN A CHANGING CLIMATE",2015,MARINE POLICY,Include,,Modèle marin + gestion explicite
10.1017/S0959270918000278,"NICHE MODELLING OF THE POTENTIAL DISTRIBUTION OF THE EGYPTIAN VULTURE NEOPHRON PERCNOPTERUS DURING SUMMER AND WINTER IN IRAN, TO IDENTIFY GAPS IN PROTECTED AREA COVERAGE",2019,BIRD CONSERVATION INTERNATIONAL,Include,,Modèle marin — inclus par règle du doute
10.3389/fmars.2023.1200340,SHIPPING NOISE ASSESSMENT IN THE BLACK SEA: INSIGHTS FROM LARGE-SCALE ASI CENOBS SURVEY DATA,2023,FRONTIERS IN MARINE SCIENCE,Include,,Modèle marin + gestion explicite
10.3389/fmars.2021.624532,END-TO-END MODELING REVEALS SPECIES-SPECIFIC EFFECTS OF LARGE-SCALE COASTAL RESTORATION ON LIVING RESOURCES FACING CLIMATE CHANGE,2021,FRONTIERS IN MARINE SCIENCE,Include,,Modèle marin + gestion explicite
10.1002/ece3.70187,UNVEILING THE SUITABLE HABITATS AND FUTURE CONSERVATION STRATEGIES OF TRIDACNA MAXIMA IN THE INDO-PACIFIC CORE AREA BASED ON SPECIES DISTRIBUTION MODEL,2024,ECOLOGY AND EVOLUTION,Include,,Modèle marin + gestion explicite
10.1111/fwb.13394,DO HOTSPOTS FALL WITHIN PROTECTED AREAS? A GEOGRAPHIC APPROACH TO PLANNING ANALYSIS OF REGIONAL FRESHWATER BIODIVERSITY,2019,FRESHWATER BIOLOGY,Exclude,Terrestrial/Freshwater,Modèle sans système marin
10.3389/fmars.2021.667184,MODELLING THE EFFECTS OF TRAITS AND ABIOTIC FACTORS ON VIRAL LYSIS IN PHYTOPLANKTON,2021,FRONTIERS IN MARINE SCIENCE,Exclude,Terrestrial/Freshwater,Modèle sans système marin
10.1002/mcf2.10262,ACTION SCIENCE IN PRACTICE: CO-PRODUCTION OF A DECISION SUPPORT TOOL VISUALIZING EFFECTS OF NUTRIENT AND HYPOXIA REDUCTION GOALS ON FISHERIES SPECIES,2023,MARINE AND COASTAL FISHERIES,Include,,Modèle marin + gestion explicite
10.1016/j.ecolind.2012.08.020,IDENTIFYING KEYSTONE TROPHIC GROUPS IN BENTHIC ECOSYSTEMS: IMPLICATIONS FOR FISHERIES MANAGEMENT,2013,ECOLOGICAL INDICATORS,Include,,Modèle marin + gestion explicite
10.1016/j.dsr2.2022.105055,DYNAMICALLY DOWNSCALED PROJECTIONS OF OCEAN ACIDIFICATION FOR THE BERING SEA,2022,DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY,Include,,Modèle marin + gestion explicite
10.1029/2023JC020655,ON THE OXYGENATION EFFICACY OF GEOENGINEERED ARTIFICIAL DOWNWELLING IN THE ESTUARINE ECOSYSTEM,2024,JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS,Include,,Modèle marin + gestion explicite
