ID_article,Rank,Authors,Year,Title,Journal,DOI,Citations,Model_Name,Model_Type,Spatial_Scope,Temporal_Scope,Country,Ocean_Basin,FAO_Zone,Taxa,Drivers,Application,Key_Finding,Innovation,Limitations,Score,Score_Justification,Flag,Notes
ART_1079,NA,NA,2014,Integrating Biological and Social Values When Prioritizing Places for Biodiversity Conservation,Conservation Biology,https://doi.org/10.1111/cobi.12257,128,NA,Zonation + SDM,"Victoria, Australia",Current distributions,NA,NA,NA,7 threatened fauna species,NA,Conservation planning; Stakeholder engagement; Land-use planning,"Integrating social values and development preferences with biological data produces different spatial prioritizations but achieves similar species representation. Identifies synergies and conflicts between value sets, enabling targeted communication strategies.",First systematic integration of PPGIS (Public Participation GIS) social values data into Zonation prioritization; demonstrates socially feasible solutions maintain biological value,Terrestrial focus (but methods applicable to marine); limited to 7 species; survey-dependent social data,4,NA,NA,Valuable for stakeholder integration in marine spatial planning. Social data methods transferable to coastal/marine contexts.
ART_0104,NA,NA,2015,Comparison of morphological and DNA metabarcoding analyses of diets in exploited marine fishes,Marine Ecology Progress Series,https://doi.org/10.3354/meps11524,128,NA,Ecosystem model parameterization (methodological),"Southeast Australia (Commonwealth Trawl Sector, SESSF)",Contemporary sampling,NA,NA,NA,8 exploited fish species; diverse prey taxa,NA,Ecosystem-based fisheries management; Food web parameterization for ecosystem models,"HTS (High-Throughput Sequencing) achieves similar taxon richness but significantly higher taxonomic resolution than microscopy. DNA barcode choice (COX1, 16S, 18S) affects resolution and phylogenetic breadth. HTS reveals previously unrecorded dietary items and parasite assemblages.",First systematic comparison of morphological vs. DNA metabarcoding for parameterizing ecosystem models in fisheries context; demonstrates HTS potential for EBM,Methodological comparison rather than model application; requires reference database development; semi-quantitative biomass estimates,4,NA,NA,Important methodological contribution for improving ecosystem model food web structure. Enables better EBM parameterization.
ART_0089,NA,NA,2015,Mixed effects: a unifying framework for statistical modelling in fisheries biology,ICES Journal of Marine Science,https://doi.org/10.1093/icesjms/fsu213,125,NA,Statistical framework (review/tutorial),Global (conceptual framework),N/A (framework applicable to any temporal scale),NA,NA,NA,Fish populations generally; examples include various commercial species,NA,Fisheries stock assessment; Abundance index estimation; Spatial distribution modeling; Individual growth modeling,"Mixed-effects modeling provides unified framework for: (1) handling non-independence from latent states, (2) unifying time-series, spatial, and individual-based approaches, (3) increasingly practical implementation via ADMB-RE and R-INLA",Synthesizes disparate fisheries modeling approaches under single statistical framework; provides 4 worked examples with code; bridges theoretical statistics and practical fisheries applications,Review/tutorial rather than applied study; computational demands for complex models; requires statistical expertise,4,NA,NA,Foundational statistical framework underpinning many modern fisheries spatial models. Essential methodological reference.
ART_0725,NA,NA,2017,Priority areas for biodiversity conservation in mainland Ecuador,Neotropical Biodiversity,https://doi.org/10.1080/23766808.2017.1295705,124,NA,Marxan + SDM (MaxEnt),Mainland Ecuador,Current + 2050 climate projections (A1B scenario),NA,NA,NA,"744 species (vascular plants, birds, amphibians, reptiles) + 87 ecosystems",NA,National protected area expansion; Land-use planning; SocioBosque program support,"Marxan solution covers 24% (3.64M ha) of remnant vegetation; 35% already in PANE, 13% in SocioBosque. Major conservation gaps in Southern Andes, Central Amazonia, Central/Southern Coast. Climate turnover heterogeneous across regions.","Integrates SDMs with Marxan for megadiverse country; combines biodiversity surrogates with climate adaptation criteria, ecosystem conversion risk, carbon, and accessibility layers",Terrestrial focus (but methodology applicable to marine); single emission scenario; static ecosystem targets,4,NA,NA,Exemplary national-scale conservation planning. Methods transferable to marine contexts. Climate adaptation integration valuable.
ART_0093,NA,"Howell D, Schueller AM, Bentley JW, Buchheister A, Chagaris D, Cieri M, Drew K, Lundy MG, Pedreschi D, Reid DG, Townsend H",2021,Combining Ecosystem and Single-Species Modeling to Provide Ecosystem-Based Fisheries Management Advice Within Current Management Systems,Frontiers in Marine Science,10.3389/fmars.2020.607831,123,EwE + Single-species stock assessment,Multi-model integration,US Atlantic (Atlantic menhaden); Irish Sea (multispecies fisheries),Operational (annual TAC setting),NA,NA,NA,NA,NA,Direct TAC setting; ecological reference points for forage fish; ecosystem-informed quota advice within existing management frameworks,Successful implementation in two management systems. For menhaden: ecological reference points account for predator needs. For Irish Sea: ecosystem variability influences quota setting within ICES PGY ranges. Both retain single-species model precision while adding ecosystem context.,First operationalized framework combining ecosystem model strategic advice with single-species tactical advice for TAC setting. Introduces Feco concept - ecosystem-adjusted fishing mortality that stays within PGY ranges.,Assumes ecosystem model correctly captures dynamics; F translation between models can be uncertain; requires both model types to be well-developed,5,NA,NA,Landmark paper for operational EBFM. Two independent case studies demonstrate generalizability.
ART_0323,NA,"Albouy C, Guilhaumon F, Leprieur F, Ben Rais Lasram F, Somot S, Aznar R, Velez L, Le Loc'h F, Mouillot D",2012,Projected climate change and the changing biogeography of coastal Mediterranean fishes,Journal of Biogeography,10.1111/jbi.12013,122,Ensemble SDM + NEMOMED8,Species distribution model,"Mediterranean Sea (entire basin, continental shelf)",Current to 2099 (mid-century and end-century projections),NA,NA,NA,NA,NA,Climate adaptation planning; MPA network design under climate change; fisheries adaptation strategies,"1.4°C warming by mid-century, 2.8°C by end-century. 54 species lose climatically suitable habitat by 2099. Species richness decreases across 70.4% of continental shelf. Mean body size increases over 74.8% of shelf (loss of small species). Western Mediterranean and Aegean Sea most affected.",First comprehensive ensemble SDM projection for Mediterranean coastal fish using regional climate model (NEMOMED8). Combines species richness and body size predictions.,No dispersal constraints modeled; no biotic interactions; assumes niche conservatism; uncertainty in thermal tolerance,5,NA,NA,Highly influential for Mediterranean climate impact assessment. Founded subsequent work on functional/phylogenetic diversity impacts.
ART_1069,NA,"Ainsworth CH, Paris CB, Perlin N, Dornberger LN, Patterson WF III, Chancellor E, Murawski S, Hollander D, Daly K, Romero IC, Coleman F, Perryman H",2018,Impacts of the Deepwater Horizon oil spill evaluated using an end-to-end ecosystem model,PLOS ONE,10.1371/journal.pone.0190840,122,ATLANTIS-GOM,End-to-end ecosystem model,"Gulf of Mexico (entire basin, 66 polygons, 7 depth layers)",2010-2060 (50-year simulations post-spill),NA,NA,NA,NA,NA,Oil spill damage assessment; ecosystem recovery planning; fisheries management post-disaster; closure evaluation,Large reef fish biomass decreased 25-50% in most affected areas; large demersal fish decreased 40-70%. Recruitment effects and fishery closures had little influence compared to direct mortality/growth impacts. Missing generation of fish predicted. Recovery time decades for some guilds.,First coupling of Lagrangian oil dispersion model with ATLANTIS ecosystem model. Dose-response relationships for fish mortality and growth from PAH exposure. Validated against independent ROV and tagging data.,Uncertainty in oil concentration estimates; simplified dose-response; model complexity limits uncertainty quantification,5,NA,NA,Key paper from C-IMAGE consortium. Demonstrated ecosystem-scale oil spill impacts far beyond immediate spill zone.
ART_0662,NA,"Magris RA, Costa MDP, Ferreira CEL, Vilar CC, Joyeux JC, Creed JC, Copertino MS, Horta PA, Sumida PYG, Francini-Filho RB, Floeter SR",2020,A blueprint for securing Brazil's marine biodiversity and supporting the achievement of global conservation goals,Diversity and Distributions,10.1111/ddi.13183,121,Marxan + Cumulative Impact Assessment,Conservation prioritization,"Brazil EEZ (Southwest Atlantic Ocean, ~3.5 million km²)",Current (with climate change vulnerability assessment),NA,NA,NA,NA,NA,National MPA network expansion; CBD Aichi Target 11 compliance; SDG 14 implementation; land-sea planning integration,"Industrial fisheries, climate change, and land-based activities are most severe threats. Systematic approach increases MPA coverage by only 7.9% compared to stakeholder proposals but with better biodiversity outcomes. Highest priorities in nearshore areas due to cumulative impacts.","First comprehensive integration of cumulative impact assessment with Marxan for Brazil's EEZ. Combines representation, connectivity, and threat mitigation in single framework. Compares systematic priorities vs stakeholder-proposed MPAs.",Data gaps in deeper waters; species distribution uncertainty; static threat assessment,5,NA,NA,Blueprint for Brazil's marine conservation. Strong policy relevance for expanding MPA network.
ART_0127,NA,"Alós J, Palmer M, Arlinghaus R",2012,Consistent Selection towards Low Activity Phenotypes When Catchability Depends on Encounters among Human Predators and Fish,PLOS ONE,10.1371/journal.pone.0048030,121,Individual-Based Model (fishing selection),Agent-based model,Theoretical (parameterized from Mediterranean - Balearic Islands),Simulated fishing seasons,NA,NA,NA,NA,NA,Understanding fishing-induced evolution; gear selectivity assessment; harvest control considering behavioral diversity,"Fishing consistently selects against high-activity phenotypes across all gear types tested. Selection differential strongest for passive gears (hooks, traps). Even short-term fishing can exert strong selection on behavioral traits. Home range size and activity are key determinants of vulnerability.","First IBM explicitly linking individual fish behavior (activity, home range) to catchability through mechanistic encounter rates. Demonstrates fishing-induced selection on behavioral traits beyond body size.",Simplified 2D movement; no social interactions; single species parameterization; no genetic component,4,NA,NA,Important for understanding non-size-selective fishing impacts. Foundational for fishing-induced evolution research.
ART_0099,NA,"Jennings S, Collingridge K",2015,"Predicting Consumer Biomass, Size-Structure, Production, Catch Potential, Responses to Fishing and Associated Uncertainties in the World's Marine Ecosystems",PLOS ONE,10.1371/journal.pone.0133794,121,Size-based macroecological model + mizer,Size spectrum model,Global oceans (all Large Marine Ecosystems),Equilibrium predictions; fishing scenarios,NA,NA,NA,NA,NA,Global fisheries potential assessment; ecosystem-based reference points; climate-fisheries projections baseline,Global consumer biomass (1g-1000kg): median 4.9 billion tonnes (90% CI: 0.3-26.1 billion tonnes). Uncertainty driven primarily by trophic transfer efficiency. ~77% of biomass in deep/offshore waters (visually misleading abundance near coasts). Fishing selectivity strongly affects sustainable yield estimates.,First global-scale uncertainty quantification for marine consumer biomass using Monte Carlo parameter sampling. Couples simple macroecological model with dynamic size-trait model (mizer) for fishing impacts.,Equilibrium assumption; no spatial dynamics; limited validation data; aggregate size classes,4,NA,NA,Key reference for global fish biomass estimates. Foundational for FishMIP model intercomparison.
ART_0026,NA,"Dubois M, Rossi V, Ser-Giacomi E, Arnaud-Haond S, López C, Hernández-García E",2016,"Linking basin-scale connectivity, oceanography and population dynamics for the conservation and management of marine ecosystems",Global Ecology and Biogeography,10.1111/geb.12431,119,Lagrangian biophysical model + Network Theory,Connectivity model,"Mediterranean Sea (entire basin, 871 sub-regions)",Multi-year simulations (seasonal to interannual variability),NA,NA,NA,NA,NA,MPA network design; genetic connectivity inference; population structure hypothesis generation; offshore reserve planning,"Retention weak in open ocean but significant in coastal areas. Wind-driven divergent regions = larval sources; convergent regions = larval sinks. Connectivity metrics (retention, betweenness, source/sink) are interrelated under specific conditions. Coastlines with sluggish circulation favor retention.",First basin-scale systematic characterization of Mediterranean larval connectivity using network theory. Links retention/exchange metrics to oceanographic features (wind-driven divergence/convergence). Demonstrates interrelationship among connectivity metrics.,Generic PLD (30 days); no larval behavior; no settlement habitat; validation limited to indirect evidence,5,NA,NA,Foundational for Mediterranean connectivity research. Framework for interpreting genetic patterns.
ART_0565,NA,"Rowden AA, Anderson OF, Georgian SE, Bowden DA, Clark MR, Pallentin A, Miller A",2017,"High-Resolution Habitat Suitability Models for the Conservation and Management of Vulnerable Marine Ecosystems on the Louisville Seamount Chain, South Pacific Ocean",Frontiers in Marine Science,10.3389/fmars.2017.00335,118,"Ensemble HSM (BRT, GAM, Random Forest)",Habitat suitability model,"Louisville Seamount Chain (SPRFMO Convention Area, South Pacific)",Current distribution prediction,NA,NA,NA,NA,NA,SPRFMO bottom fishing spatial closures; VME protection; seamount management; fisheries impact assessment,"Abundance models outperform presence-absence models. Ensemble models have lower uncertainty. Suitable coral habitat concentrated at summit-slope breaks and along flanks ridges. Coral reef VME habitat occurs in small, isolated patches. Most seamount area unsuitable for VME.","First high-resolution (25m) HSM for VME taxa on seamounts. Compares BRT, GAM, RF and ensemble approaches. Translates coral abundance thresholds to VME habitat definition. Within-seamount spatial closure feasibility assessment.",Limited to surveyed seamounts; no substrate proxy; static predictions; orange roughy fishery context,5,NA,NA,Important for RFMO VME management. Demonstrates feasibility of within-seamount closures.
ART_1097,NA,"Nori J, Lescano JN, Illoldi-Rangel P, Frutos N, Cabrera MR, Leynaud GC",2016,"Protected areas and spatial conservation priorities for endemic vertebrates of the Gran Chaco, one of the most threatened ecoregions of the world",Diversity and Distributions,10.1111/ddi.12497,119,Zonation + MaxEnt SDM,Conservation prioritization,"Gran Chaco ecoregion (Argentina, Paraguay, Bolivia ~1 million km²)",Current (with climate scenarios),NA,NA,NA,NA,NA,Protected area expansion; conservation gap analysis; endemic species protection; land-use planning,Current protected areas cover <15% of high-priority areas for endemics. Major conservation gaps in dry Chaco. Reptiles and amphibians most poorly represented. Priority areas concentrate in ecotones and highland refugia.,First comprehensive spatial prioritization for Gran Chaco endemics. Combines SDMs with Zonation for systematic planning. Gap analysis of existing protected areas.,Terrestrial focus (not marine); limited dispersal consideration; static climate baseline,4,NA,NA,Important for South American conservation. Terrestrial study but Zonation methodology relevant to marine applications.
ART_0342,NA,"Moullec F, Barrier N, Drira S, Guilhaumon F, Marsaleix P, Somot S, Ulses C, Velez L, Shin Y-J",2019,An End-to-End Model Reveals Losers and Winners in a Warming Mediterranean Sea,Frontiers in Marine Science,10.3389/fmars.2019.00345,117,OSMOSE-MED + NEMOMED12,End-to-end ecosystem model,Mediterranean Sea (entire basin),"Historical (1980-2013) + projections (2014-2099, RCP8.5)",NA,NA,NA,NA,NA,Climate adaptation for Mediterranean fisheries; species-specific management strategies; ecosystem-based climate planning,"Total consumer biomass decreases 22% by 2099. Winners: small pelagics (anchovy, sardine), thermophilic species. Losers: demersal species, cold-water species, large predators. Western Mediterranean most impacted. Trophic amplification of climate impacts.",First end-to-end (physics to fish) projection of Mediterranean marine ecosystems under climate change. Identifies species-specific winners and losers. Combines biogeochemical forcing with multispecies dynamics.,RCP8.5 only; uncertain plankton responses; fishing held constant; no economic modeling,5,NA,NA,Key climate projection for Mediterranean fisheries. Identifies adaptation priorities.
ART_0330,57,Forney,2012,Habitat-based spatial models of cetacean density in the eastern Pacific Ocean,Endangered Species Research,NA,117,GAM Density Surface Model,SDM,Eastern Pacific Ocean (California Current Ecosystem + Eastern Tropical Pacific),1986-2006 (CCE: 1991-2005; ETP: 1986-2006),NA,NA,NA,"22 cetacean species/groups (blue whale, humpback, beaked whales, dolphins, porpoises)",NA,Environmental Impact Assessments; Navy sonar impact assessments; ship strike risk reduction; MPA planning; seasonal management zones,Models successfully validated for 22 species. SST and MLD key predictors for most species. Blue whale density linked to productivity gradients. Beaked whales associated with deep water. Density predictions provide finer resolution than traditional line-transect estimates.,"First large-scale validated habitat-based density models for multiple cetacean species in Eastern Pacific. Combines line-transect distance sampling with GAM spatial modeling. Uses dynamic environmental covariates (SST, SSS, MLD, chlorophyll) for spatially explicit density predictions.",Summer/fall surveys only; some species data-limited; model stationarity assumptions,5,NA,NA,Foundational paper for operational cetacean SDMs; enables quantitative impact assessment
ART_0111,58,Clay,2019,A comprehensive large-scale assessment of fisheries bycatch risk to threatened seabird populations,Journal of Applied Ecology,NA,116,Spatial overlap risk assessment,Risk Assessment,Southern Ocean (circumpolar from South Georgia breeding populations),1992-2017 (tracking data); 2012-2017 (fishing effort),NA,NA,NA,"4 threatened seabird species: Wandering albatross, Black-browed albatross, Grey-headed albatross, White-chinned petrel",NA,CCAMLR and RFMO bycatch mitigation; seabird conservation planning; fisheries management; Albatross Task Force priorities,"High spatial overlap between seabirds and fisheries in SW Atlantic, Indian Ocean sectors. Bycatch risk varies by life stage - non-breeders and immatures face highest exposure. Overlap regions correspond with documented high bycatch rates. Potential bycatch risk decreased since early 2000s but populations still declining.","First comprehensive assessment integrating all life-history stages (breeding adults, non-breeders, immatures, juveniles) in bycatch risk analysis. Framework for population-weighted distributions from biologging data. Largest seabird tracking dataset used for risk assessment (1697 tracks, 790 individuals).",South Georgia populations only; some fisheries underrepresented in AIS; temporal mismatch between tracking and effort data,5,NA,NA,Landmark paper for seabird-fisheries risk assessment; methodology now widely adopted
ART_0501,59,Atkinson,2017,"KRILLBASE: a circumpolar database of Antarctic krill and salp numerical densities, 1926-2016",Earth System Science Data,NA,114,KRILLBASE,Database,"Southern Ocean (circumpolar, south of Antarctic Polar Front)","1926-1939 and 1976-2016 (90 years, 56 seasons)",NA,NA,NA,Antarctic krill (Euphausia superba) and salps (Salpidae family),NA,CCAMLR krill fishery management; ecosystem monitoring; climate change assessment; food web modeling; predator-prey dynamics,"Database contains 15,194 net hauls (12,758 krill, 9,726 salp records). Standardized values typically 2.2x raw values due to sampling corrections. Clear circumpolar distribution patterns with highest densities in Scotia Sea and WAP. Krill and salps show complementary distributions.","First comprehensive circumpolar database of Antarctic krill and salp abundance. Data rescue and compilation from 10 nations. Standardization methodology corrects for sampling method differences (net type, time of day, season). Enables large-scale trend analysis and ecosystem modeling.",Net sampling underestimates mobile krill; standardization has uncertainties; spatial coverage uneven; recent data bias,5,NA,NA,Essential resource for Southern Ocean ecosystem research; enables long-term trend analysis
ART_0550,60,Sinervo,2010,Erosion of Lizard Diversity by Climate Change and Altered Thermal Niches,Science,NA,114,Ecophysiological extinction model,SDM,Global (Mexico primary; validated on 4 continents),1975-2009 (validation); projections to 2080,NA,NA,NA,48 Mexican Sceloporus lizard species; global lizard families,NA,Climate adaptation planning; extinction risk assessment; reserve design under climate change; prioritization of vulnerable species,12% of Mexican populations extinct since 1975. 4% of global populations extinct by 2009. Projected 39% local extinctions by 2080; 20% species extinctions. Viviparous species at higher risk (cannot shift breeding phenology). Model successfully hindcast extinctions on 4 continents.,First global validated model linking thermal physiology to observed extinctions. Mechanistic approach using hours of restriction (hr) - time when environmental temperatures exceed activity thresholds. Validated predictions with actual documented local extinctions.,Assumes no microhabitat buffering; limited dispersal consideration; behavioral plasticity underestimated,5,NA,NA,Landmark paper demonstrating climate-driven extinctions are already occurring; highly cited
ART_0013,61,Bode,2019,Successful validation of a larval dispersal model using genetic parentage data,PLOS Biology,NA,113,Lagrangian biophysical dispersal model,Connectivity Model,"Great Barrier Reef (3 reef clusters, 60-220 km separation)",Multi-year simulations validated against 2007-2014 genetic data,NA,NA,NA,Coral reef fish (Plectropomus maculatus and P. leopardus - coral trout/groupers),NA,MPA network design validation; connectivity assessment; reserve spacing optimization; fisheries replenishment,Validated model predicts consistent connectivity patterns with genetic parentage assignments. Models slightly overpredict short-distance dispersal. Median dispersal distances ~110-190 km. Long-distance dispersal (up to 250 km) confirmed by both model and genetics.,First successful validation of biophysical larval dispersal model using genetic parentage data. Demonstrates that properly parameterized models can accurately predict larval connectivity. Provides methodology for model validation essential for MPA design.,Relies on intensive genetic sampling; species-specific; validation limited to two grouper species,5,NA,NA,Critical proof that biophysical models can be trusted for MPA design decisions
ART_0185,62,Limburg,2020,Ocean Deoxygenation: A Primer,One Earth,NA,115,Review/Synthesis (no specific model),Review,Global ocean (coastal and open ocean),Mid-20th century to present + future projections,NA,NA,NA,Marine ecosystems generally; fish and invertebrates specifically affected,NA,Climate mitigation policy; nutrient reduction strategies; fisheries adaptation; coastal zone management; ecosystem-based management,"1-2% global ocean O2 inventory lost since mid-20th century. >700 coastal sites with new/worsening low O2. Climate warming reduces O2 solubility and ventilation. Eutrophication drives coastal hypoxia. Impacts include habitat compression, reduced growth, reproductive impairment, disease susceptibility.","First comprehensive accessible primer on ocean deoxygenation for broad audience. Synthesizes mechanisms (climate warming, eutrophication), scale (1-2% global O2 loss, 700+ coastal dead zones), and impacts (individual to ecosystem level). Integrates human well-being impacts.",Review not primary research; limited quantitative projections; regional variation not fully captured,4,NA,NA,Excellent accessible introduction to deoxygenation; valuable for non-specialists
ART_0400,63,Brooks,2018,Factors controlling the seasonal distribution of pelagic Sargassum,Marine Ecology Progress Series,NA,114,HYCOM-Lagrangian Sargassum growth model,Coupled physical-biological model,"North Atlantic (tropical Atlantic, Sargasso Sea, Gulf of Mexico, Caribbean)",Annual cycle simulations; satellite validation 2002-2014,NA,NA,NA,Pelagic Sargassum (S. fluitans and S. natans),NA,Sargassum beaching prediction; Caribbean coastal management; tourism sector planning; ecosystem monitoring,"Passive advection alone explains only 60% of distribution during some periods. Adding growth, mortality, fragmentation achieves 65-75% accuracy. Sargasso Sea acts as 'dead end' for Sargassum. Gulf of Mexico and Western Tropical Atlantic disproportionately influence basin biomass. Tropical Atlantic population new since 2011.","First coupled modeling approach integrating ocean circulation with Sargassum physiology to explain seasonal distributions. Demonstrates that advection alone is insufficient - growth, mortality, and fragmentation essential for realistic predictions. Proposes conceptual seasonal cycle model.",Simplified physiology; single morphotype; uncertain fragmentation rates; limited validation data pre-2011,5,NA,NA,Foundational for understanding Sargassum blooms causing Caribbean inundations since 2011
ART_0625,64,Flórez,2014,Defensive symbiosis: a microbial perspective,Functional Ecology,NA,114,Review (no specific model),Review,Global (conceptual - all ecosystems),N/A - conceptual review,NA,NA,NA,"Symbiotic microbes providing chemical defense to hosts (insects, marine invertebrates, plants)",NA,Limited direct spatial modeling relevance; useful for understanding ecosystem function and bioactive compound discovery,Defensive symbionts widespread across metazoan phyla. Chemical compounds often novel natural products. Symbionts can be vertically or horizontally transmitted. Defense effectiveness context-dependent. Symbiosis can drive host diversification.,"Synthesizes defensive symbiosis across terrestrial and marine systems from microbial perspective. Identifies common themes in chemical defense production, ecological contexts, and evolutionary implications.",Not a spatial model; limited quantitative application; primarily terrestrial focus,2,NA,NA,Out of scope for BRIDGES spatial modeling focus - may be false positive in database
ART_0792,65,Unknown,2019,Human capital and poverty reduction in OPEC member-countries,Unknown,NA,116,InVEST (listed) - needs verification,Unclear,OPEC countries,Unclear,NA,NA,NA,N/A - human/economic focus,NA,Likely not applicable to marine management,Needs verification - likely not marine/spatial relevant,Unclear - needs verification; likely false positive in marine database,Likely out of scope for BRIDGES,1,NA,NA,Needs manual verification - title suggests non-marine focus. May be database error.
ART_0550,66,Jones,2013,Predicting the Impact of Climate Change on Threatened Species in UK Waters,PLOS ONE,NA,114,Ensemble SDM (3 models),SDM,North Sea and UK waters,1985 baseline; projections to 2050,NA,NA,NA,"7 threatened marine species (skates, rays) + 10 commercial demersal fish species",NA,MPA effectiveness assessment under climate change; threatened species conservation; bycatch risk mitigation; UK marine spatial planning,"Species projected to shift northward at ~27 km/decade average. Critically Endangered D. batis may gain 40% suitable habitat if able to disperse. R. alba faces increased bycatch risk due to increased overlap with commercial species. Protected areas show variable future suitability - some improve, others decline.","First multi-model ensemble SDM approach for threatened marine vertebrates in UK waters. Combines three SDMs with two climate projections (GFDL, CMIP3). Assesses protected area effectiveness under climate change. Calculates bycatch risk through range overlap between commercial and threatened species.",Single region (UK); limited dispersal modeling; 2050 horizon only; assumes static protected areas,5,NA,NA,Important for UK marine conservation planning; demonstrates multi-model ensemble value
ART_1082,67,Schulp,2016,Use of demand for and spatial flow of ecosystem services to identify priority areas,Conservation Biology,NA,113,Zonation (ES demand-flow),Spatial Conservation Prioritization,European Union (terrestrial),Contemporary mapping,NA,NA,NA,"Ecosystem services (carbon, flood regulation, air quality, pollination, urban leisure)",NA,EU land use planning; Natura 2000 network evaluation; green infrastructure planning; ES conservation priority setting,Only 37.1% overlap between priority areas with/without demand accounting. Ignoring ES demand leads to conservation priorities in remote areas with little human benefit. Flow zone approaches enhance ES distribution without major trade-offs. Global ES (carbon) less affected than local ES by demand consideration.,First integration of ES demand and flow zones into spatial prioritization using Zonation. Tests multiple approaches to account for supply-demand connections. Demonstrates that ignoring demand leads to priority areas in remote regions with low societal benefit.,Terrestrial focus (not marine); static ES maps; simplified flow models,3,NA,NA,Primarily terrestrial but methodology applicable to marine ES; valuable for coastal/marine ES planning
ART_0255,68,Shenton,2010,Bayesian network models for environmental flow decision-making: 1. Latrobe River Australia,River Research and Applications,NA,112,Bayesian Network (eFlow DSS),Decision Support System,"Latrobe River, Victoria, Australia (freshwater)",Flow scenarios and management decisions,NA,NA,NA,Australian Grayling (Prototroctes maraena) and River Blackfish (Gadopsis marmoratus),NA,Environmental flow allocation; dam release optimization; water sharing plans; fisheries conservation,BN successfully integrates expert knowledge with available data. Identifies critical flow requirements for spawning and juvenile recruitment. Provides probabilistic predictions of fish population outcomes under different flow scenarios. Demonstrates transparency in decision-making process.,First application of BN for transparent environmental flow decision-making with explicit uncertainty handling. Links flow regimes to fish life history stages. Provides probability distributions for management outcomes rather than point estimates.,Freshwater focus; data-limited system requires expert opinion; single river system,4,NA,NA,Freshwater system but methodology highly transferable to coastal/estuarine systems
ART_0745,69,Brooks,2013,Competing values on the Antarctic high seas: CCAMLR and the challenge of marine-protected areas,The Polar Journal,NA,112,Policy analysis (not a spatial model),Review/Policy Analysis,Southern Ocean (CCAMLR Convention Area),1982-2013 (fisheries trends and MPA negotiations),NA,NA,NA,Antarctic krill and toothfish fisheries; broader MPA network,NA,CCAMLR MPA policy; high seas governance; international conservation negotiation strategy,Number of CCAMLR fishing States increased 4-fold since 1982. Toothfish brings 20x more profit than krill despite lower catch. Ross Sea and East Antarctic MPA proposals stalled due to fishing State objections. Russian delegation questioned CCAMLR's legal authority for MPAs.,Comprehensive policy analysis of barriers to Southern Ocean MPA adoption. Documents the rise of toothfish fishing interests as obstacle to conservation. First detailed examination of CCAMLR MPA negotiation process.,Not a spatial modeling study; policy focus rather than technical,2,NA,NA,Important context for CCAMLR spatial planning but not a modeling study per se
ART_1043,70,Trites,2017,Ecosystem Change and the Decline of Marine Mammals in the Eastern Bering Sea: Testing the Ecosystem Shift and Commercial Whaling Hypotheses,Fisheries Centre Research Reports (UBC),NA,111,Ecopath with Ecosim (EwE),Food Web Model,Eastern Bering Sea,1950s vs 1980s comparison,NA,NA,NA,"Marine mammals (seals, sea lions, whales); pollock; large flatfish; entire food web",NA,Bering Sea fisheries management; marine mammal recovery planning; ecosystem-based management,Pollock contributed >50% of mid-trophic energy flow in 1980s vs 10% in 1950s. Large flatfish and pollock are significant seal competitors. Marine mammal biomass changes have little effect on other groups. Ecosystem more mature in 1950s. Whale removal had positive effect on pollock through reduced competition.,Tests competing hypotheses for marine mammal declines using comparative EwE models. Examines ecosystem shift vs whaling removal hypotheses. Quantifies energy flow changes across decades.,1950s data uncertainty; static snapshots; limited spatial resolution,5,NA,NA,Important for understanding ecosystem-level impacts of fishing and environmental change
ART_0301,71,Olsen,2016,Ecosystem Model Skill Assessment. Yes We Can!,PLOS ONE,NA,108,Atlantis (skill assessment framework),Methodological/Validation,Northeast US continental shelf (case study),40-year hindcast and 10-year forecast validation,NA,NA,NA,"Multiple species (fish biomass, landings, ecosystem indicators)",NA,Ecosystem model validation protocols; management strategy evaluation; model credibility assessment,NEUS Atlantis model performs above average for key species. Forecast skill comparable to hindcast skill - critical for management use. Multiple metrics essential for comprehensive assessment. Framework applicable to any predictive model.,"First comprehensive skill assessment of a full marine ecosystem model. Develops best-practice framework using multiple metrics (RMSE, AAE, MEF, correlation). Demonstrates 10-year forecast skill comparable to hindcast skill.",Single model/region tested; skill varies by species,5,NA,NA,Essential reading for anyone using ecosystem models for management
ART_0025,72,Gilles,2016,"Seasonal habitat-based density models for a marine top predator, the harbor porpoise, in a dynamic environment",Ecosphere,NA,108,GAM Density Surface Model,SDM,"Central and Southern North Sea (UK, Belgium, Netherlands, Germany, Denmark)","2005-2013 (9 years, seasonal)",NA,NA,NA,Harbor porpoise (Phocoena phocoena),NA,EU Habitats Directive assessment; Marine Strategy Framework Directive; offshore wind farm impact assessment; MPA designation,"Models capture seasonal distribution shifts across international boundaries. Depth, distance to shore, distance to sandeel grounds, SST, and fronts are key predictors. Day length proved good proxy for seasonal variation. Southern North Sea shows increasing importance.","First international compilation of porpoise survey data for seasonal SDM across North Sea. Combines SCANS-II with national surveys (156,630 km, 14,356 sightings). Uses day length and SST as season proxies for space-time predictions.",Summer bias in some years; visual surveys only; surface availability,5,NA,NA,Exemplary international collaboration; operational for North Sea spatial planning
